method,dropout_probability,ATE_m,RPE_m,Mean_m,Median_m,Max_m,P95_m,Corrections_used,Corrections_skipped
PINN + IMU yaw + EKF/OXTS correction every 10 frames,,6.12448787689209,0.22630634903907776,4.995781421661377,5.985845565795898,9.455605506896973,9.098119163513182,26,0
GNSS/OXTS dropout probability 0.00,0.0,6.12448787689209,0.22630634903907776,4.995781421661377,5.985845565795898,9.455605506896973,9.098119163513182,26,0
GNSS/OXTS dropout probability 0.25,0.25,6.173678874969482,0.2487007975578308,5.043736934661865,6.406345367431641,9.455869674682617,9.191118240356445,21,5
GNSS/OXTS dropout probability 0.50,0.5,5.935872554779053,0.27604666352272034,4.849859237670898,6.408265113830566,9.432990074157715,9.0582950592041,16,10
GNSS/OXTS dropout probability 0.75,0.75,5.940770149230957,0.3031439185142517,4.8198771476745605,6.368286609649658,9.260915756225586,8.880180358886717,12,14
GNSS/OXTS dropout probability 1.00,1.0,9.463305473327637,0.14030858874320984,7.950639247894287,7.295326232910156,14.978609085083008,14.742559242248534,0,26
