drive,frames,method,ATE_m,RPE_m,Mean_m,Median_m,Max_m,P95_m
2011_09_26_drive_0009_sync,266,Pure PINN learned yaw,75.82848358154297,0.6547539830207825,58.86197280883789,55.02634811401367,119.48247528076172,119.25584106445312
2011_09_26_drive_0009_sync,266,PINN + IMU yaw,9.704227447509766,0.14654536545276642,7.995229244232178,7.424928665161133,15.579758644104004,15.343755340576172
2011_09_26_drive_0009_sync,266,PINN + IMU yaw + EKF/OXTS,6.11683464050293,0.23649723827838898,5.001117706298828,5.992287635803223,9.44583511352539,9.14964485168457
2011_09_26_drive_0009_sync,266,EKF-only IMU + OXTS,6.195849895477295,0.5171052813529968,5.128150939941406,5.8408403396606445,9.539884567260742,9.37203540802002
2011_09_26_drive_0009_sync,266,Oracle yaw diagnostic,3.69246768951416,0.11646212637424469,2.8012642860412598,1.6551082134246826,7.368654727935791,7.317638778686523
2011_09_26_drive_0011_sync,233,Pure PINN learned yaw,20.628646850585938,0.482094407081604,18.13199234008789,18.699874877929688,34.93396759033203,31.230120754241945
2011_09_26_drive_0011_sync,233,PINN + IMU yaw,20.56594467163086,0.4808269739151001,18.000141143798828,18.64641571044922,35.196109771728516,31.140367317199708
2011_09_26_drive_0011_sync,233,PINN + IMU yaw + EKF/OXTS,5.776575565338135,1.5223227739334106,5.46437406539917,5.622467517852783,9.438942909240723,8.463403940200806
2011_09_26_drive_0011_sync,233,EKF-only IMU + OXTS,5.7271246910095215,1.1964985132217407,4.084198951721191,2.4975876808166504,10.658804893493652,10.465505743026734
2011_09_26_drive_0011_sync,233,Oracle yaw diagnostic,20.77708625793457,0.4805535078048706,18.416027069091797,18.942567825317383,35.693023681640625,31.14230422973633
2011_09_26_drive_0013_sync,144,Pure PINN learned yaw,45.08176803588867,0.6175086498260498,38.65242004394531,38.59360885620117,77.4701156616211,73.27043991088867
2011_09_26_drive_0013_sync,144,PINN + IMU yaw,44.09365463256836,0.5994025468826294,37.961830139160156,38.443336486816406,74.90680694580078,70.73025588989258
2011_09_26_drive_0013_sync,144,PINN + IMU yaw + EKF/OXTS,6.5876946449279785,1.8758665323257446,6.153589248657227,6.354212284088135,11.145524024963379,9.913344573974609
2011_09_26_drive_0013_sync,144,EKF-only IMU + OXTS,9.879202842712402,1.3901578187942505,9.479914665222168,10.281274795532227,12.548660278320312,12.273559761047363
2011_09_26_drive_0013_sync,144,Oracle yaw diagnostic,44.09523391723633,0.5995314121246338,37.964988708496094,38.452945709228516,74.91007232666016,70.7332145690918
2011_09_26_drive_0014_sync,314,Pure PINN learned yaw,190.18104553222656,1.3307973146438599,153.17140197753906,140.31141662597656,371.3704833984375,345.89210815429686
2011_09_26_drive_0014_sync,314,PINN + IMU yaw,85.41691589355469,0.7235215306282043,64.87004089355469,52.828487396240234,177.14414978027344,164.4839813232422
2011_09_26_drive_0014_sync,314,PINN + IMU yaw + EKF/OXTS,7.428368091583252,2.0884463787078857,7.085015296936035,7.304493427276611,11.667140007019043,10.435835647583009
2011_09_26_drive_0014_sync,314,EKF-only IMU + OXTS,11.572379112243652,0.5703004002571106,11.04314136505127,12.501975059509277,14.396531105041504,14.249883842468261
2011_09_26_drive_0014_sync,314,Oracle yaw diagnostic,86.36448669433594,0.710770308971405,65.8433609008789,54.925228118896484,177.68060302734375,165.22746887207032
