experiment,ATE_m,RPE_m,Mean_m,Median_m,Max_m,P95_m,corrections_used,corrections_blocked,visual_used,visual_failed
Visual+GNSS normal,5.293094158172607,0.4404452443122864,4.360601425170898,4.86498498916626,8.880517959594727,8.130511283874512,26,0,165,91
Visual 50-frame GNSS outage,4.421578407287598,0.8473273515701294,3.5025582313537598,3.329195261001587,8.778553009033203,7.7355883598327635,21,5,165,91
Visual 100-frame GNSS outage,5.231190204620361,1.2516834735870361,3.883807897567749,3.329195261001587,13.84080982208252,11.251581192016602,16,10,165,91
Visual full GNSS-denied,18.705326080322266,0.189728245139122,14.343374252319336,13.534919738769531,30.58456802368164,30.462680053710937,0,26,165,91
