method,ATE_m,RPE_m,Mean_m,Median_m,Max_m,P95_m
Pure PINN learned yaw,78.76860809326172,0.6767652034759521,61.22494125366211,57.52011489868164,123.86799621582031,123.61854553222656
PINN + IMU yaw,9.530647277832031,0.1403447538614273,7.974029064178467,7.4249162673950195,15.055889129638672,14.839155960083009
PINN + IMU yaw + EKF/OXTS,6.133700847625732,0.21135196089744568,5.021230220794678,6.143984794616699,9.447830200195312,9.097158050537109
EKF-only IMU + OXTS,6.195849895477295,0.5171052813529968,5.128150939941406,5.8408403396606445,9.539884567260742,9.37203540802002
Oracle yaw diagnostic,3.3678290843963623,0.10848580300807953,2.612698793411255,1.6499947309494019,6.588769912719727,6.554465675354004
