experiment,ATE_m,RPE_m,Mean_m,Median_m,Max_m,P95_m,corrections_used,corrections_blocked,lidar_used,lidar_failed
LiDAR+GNSS normal,5.417563438415527,0.41688811779022217,4.432920455932617,4.967306613922119,9.04301643371582,8.351123619079589,26,0,256,0
LiDAR 50-frame GNSS outage,4.454901218414307,0.7697018384933472,3.4585161209106445,3.1155853271484375,8.86552619934082,8.072034072875976,21,5,256,0
LiDAR 100-frame GNSS outage,4.329241752624512,1.058866024017334,3.3166983127593994,2.8803322315216064,10.46418571472168,8.616430473327636,16,10,256,0
LiDAR full GNSS-denied,16.981462478637695,0.20422740280628204,13.196508407592773,12.154027938842773,28.220502853393555,28.002123260498045,0,26,256,0
