experiment,ATE_m,RPE_m,Mean_m,Median_m,Max_m,P95_m,corrections_used,corrections_blocked
No outage,6.056972503662109,0.23314766585826874,5.001074314117432,6.1132917404174805,9.429487228393555,9.060044288635254,26,0
20-frame outage,5.99631404876709,0.2515939176082611,4.954267501831055,6.1132917404174805,9.430675506591797,9.06077308654785,24,2
50-frame outage,5.591571807861328,0.3074581027030945,4.646307468414307,5.8674187660217285,9.354816436767578,8.80997543334961,21,5
100-frame outage,4.611630916595459,0.3165152072906494,3.8475465774536133,3.9866366386413574,7.723186492919922,7.526051425933837,16,10
Full outage,10.807887077331543,0.16106952726840973,9.1317138671875,8.836203575134277,17.04245376586914,16.782951736450194,0,26
