epoch,lr,train_total_loss,train_vector_loss,train_step_loss,train_stationary_loss,train_translation_rmse_m,val_loss,val_translation_rmse_m,val_step_rmse_m,val_recursive_ate_rmse_m,val_recursive_ate_mean_m,val_recursive_ate_median_m,val_recursive_ate_max_m,epoch_seconds
1,0.0003,0.023764661325838068,0.011427853102733398,0.020772868847400938,0.0019503737637985908,0.22311918253267204,0.021643973335901248,0.1749832400811972,0.1744658961833961,48.260047195516805,40.416080043144945,31.887777340033285,84.65890898767725,6602.316455364227
2,0.0003,0.007163674116980927,0.0036338064404176666,0.006716631295013473,0.00017155203541648469,0.1272035994967545,0.006706732250060684,0.12106187219197712,0.12044837927922405,44.5704389045761,34.53802784647573,20.689488413779298,89.4728984629443,3837.178633451462
3,0.0003,0.005384726846745611,0.0028025607050915675,0.005044754713017311,5.97887754440023e-05,0.11312092638671076,0.004961556284844292,0.0944800359805078,0.09375763192220107,6.914496346411183,6.24336397245151,6.555819411710087,13.392756567965629,3560.578293800354
4,0.0003,0.004818676583776184,0.0025285637892325415,0.004488167506693071,4.602903878629616e-05,0.10732659002864156,0.0063341366672051485,0.10551398484512291,0.1049569871438263,36.86531733944654,27.26460995619282,12.910143647247128,71.84125632296059,3572.31010723114
5,0.0003,0.005643575633460867,0.0024685880845261654,0.004367182817517937,0.0009913960900252846,0.10472907907181016,0.045059188655044095,0.18870166254322351,0.1883067597919341,22.45775661035872,18.951869457092,16.579615352120562,60.64717906967156,3573.556996822357
6,0.0003,0.004247100528984782,0.002246818399035855,0.003920632138763122,3.996606174839245e-05,0.10123036805373972,0.0030169721425171523,0.07476633286576777,0.07366524430614364,13.145378180964329,10.525495413401915,8.577430259512353,26.459637339609586,3505.204000234604
7,0.0003,0.003505744652018874,0.0018754960972293183,0.003189872235678485,3.531243648195853e-05,0.09270700860054418,0.0062572955718559935,0.08583139383594844,0.08508945199795907,18.096914580566285,12.526496412094843,6.837650600610004,47.717418426773854,3526.197066307068
8,0.00015,0.0033304807906168747,0.001786933656118327,0.0030026968051061116,4.219873100205944e-05,0.09027710537274854,0.004117251299510463,0.09150976746983126,0.0904436352845581,15.783182495171566,14.062547899216888,14.855764033808626,25.426966424992507,3536.1304938793182
9,0.00015,0.0026402150190117514,0.0014480257478282537,0.002340985232608895,2.1696661622932866e-05,0.08181104384026203,0.003031637005416614,0.07936273953838145,0.07839946533725856,24.81585721719389,19.534671783564537,12.510393026848195,45.46437552824351,3529.6843831539154
10,0.00015,0.0024800141814409517,0.0013742431869540532,0.002172721326018704,1.9410331404860194e-05,0.07963896655874844,0.0035188123061269424,0.07504350562829042,0.07421324728700829,13.221516180837382,10.563605212911456,7.452943633417357,28.953341991284752,3814.034549474716
11,0.00015,0.0023725408545616326,0.0013226309612201503,0.0020589212363224733,2.0449276148380056e-05,0.07797960682489342,0.003274623909899293,0.07803710628078234,0.07720178454094305,24.241968497213847,18.430963228558188,8.670720851684994,47.78299507776698,3563.009514808655
12,0.00015,0.0021865981119704807,0.0012375198172080836,0.001870885829383696,1.3635381139224801e-05,0.07561370038561016,0.0034488850907246527,0.0750169889256615,0.0741441567998555,16.465526710370785,12.257264681211817,5.49700737889042,35.15267355150322,3806.32617020607
13,7.5e-05,0.002045724792798655,0.0011679558047055782,0.0017239339693356176,1.5802009175208636e-05,0.07351815160516846,0.002874643012761845,0.07501850132666033,0.07294725417276485,10.136898265241998,8.328109071375593,6.994456013415414,18.12140145444244,3750.67888379097
14,7.5e-05,0.0017065672762916642,0.001000925467690368,0.001389666391404756,1.0808612183145824e-05,0.0680909063846635,0.0032719196031596345,0.07685269892930338,0.07597834827450785,21.313822017757296,16.17199039330726,6.582088591810516,40.990248010027166,3494.2555606365204
15,7.5e-05,0.0016058187059082387,0.0009480440419076266,0.0012989758092626395,8.2867575681221e-06,0.06630491523194544,0.003371510194295746,0.0750948665801428,0.07420046304504045,17.390052133082712,13.013855528331295,4.927642233390247,34.505815338121074,3732.110590696335
